"sleep","totwrk","educ","male","marr","age","earns74","black","union","case","clerical","construc","gdhlth","inlf","leis1","leis2","leis3","smsa","lhrwage","lothinc","prot","rlxall","selfe","slpnaps","south","spsepay","spwrk75","worknrm","workscnd","exper","yngkid","yrsmarr","hrwage","agesq"
3808,1175,17,0,1,24,4500,0,0,142,1,0,0,1,5097,5097,5097,0,1.036737,6.908755,0,3808,0,3808,0,0,0,1175,0,1,0,3,2.82,576
3363,2426,12,1,1,56,8250,0,0,143,0,0,1,1,4291,4291,4291,0,1.278152,8.160804,1,3363,1,3363,0,5000,1,2426,0,38,0,28,3.589999,3136
3675,2113,10,1,1,34,3500,0,0,144,0,0,1,1,4292,4292,4292,1,1.278152,9.23513,1,3675,0,3675,0,4000,1,2113,0,18,0,17,3.589999,1156
3120,2477,13,1,1,23,11750,0,0,145,0,0,1,1,4483,4408,4333,0,1.472472,7.601402,1,3270,0,3195,0,3500,1,2477,0,4,1,0,4.36,529
3536,2375,12,0,1,29,18750,0,1,146,1,0,1,1,4169,4169,4144,1,2.165619,9.528867,0,3561,0,3536,1,17000,1,2375,0,11,0,8,8.719997,841
3253,2813,12,1,1,27,0,0,0,147,0,0,1,1,4014,4014,4014,0,1.635106,9.839003,1,3253,0,3253,0,0,0,2813,0,9,0,8,5.130002,729
2885,2625,10,1,0,58,13750,0,0,148,1,0,1,1,4570,4510,4510,1,1.635106,0,0,2945,0,2945,0,0,0,2625,0,42,0,0,5.130002,3364
2560,3018,12,1,1,56,21250,0,0,149,0,0,1,1,4502,4502,4464,0,1.635106,9.964159,1,2598,0,2560,0,11000,1,2800,218,38,0,33,5.130002,3136
2985,4335,14,1,1,37,18750,0,1,150,0,0,1,1,2760,2738,2738,1,1.89762,0,1,3007,0,3007,0,0,0,4335,0,17,0,0,6.670001,1369
3095,3105,12,0,1,51,13750,0,0,151,0,0,0,1,3880,3880,3880,1,1.89762,9.528867,0,3095,0,3095,0,14000,1,3105,0,33,0,0,6.670001,2601
2985,3194,12,1,1,50,13750,0,0,152,0,0,1,1,3901,3901,3901,0,1.83418,8.922792,0,2985,0,2985,0,0,0,3194,0,32,0,28,6.259999,2500
2243,2713,16,1,1,39,23750,0,0,153,0,0,1,1,5124,5124,5124,0,2.105353,8.229777,1,2243,0,2243,0,2700,1,2713,0,17,0,18,8.210002,1521
2838,2338,12,1,1,48,0,0,0,154,0,0,1,1,4904,4359,4359,0,2.105353,9.839003,1,3383,0,3383,0,0,0,2338,0,30,0,20,8.210002,2304
3375,938,16,1,1,50,27500,0,0,155,0,0,1,1,5767,5767,5677,1,2.423917,8.517393,1,3465,0,3375,0,6000,1,938,0,28,0,29,11.29,2500
3355,3151,16,1,1,26,13750,0,1,156,0,0,1,1,3574,3574,3536,1,2.04122,8.922792,0,3393,0,3355,0,0,0,2613,538,4,1,1,7.699997,676
3743,0,11,1,1,51,16250,0,1,157,0,0,1,1,6337,6215,6175,1,1.818077,0,0,3905,0,3865,0,1000,1,0,0,34,0,29,6.160001,2601
2701,3695,16,1,1,39,18750,0,0,158,0,0,1,1,3684,3644,3644,1,2.04122,8.517393,0,2741,0,2741,0,3600,1,3320,375,17,0,15,7.699997,1521
2943,2575,14,0,1,54,8250,0,0,159,0,0,1,1,4562,4502,4489,1,1.12493,9.865318,1,3016,0,3003,0,9500,1,2575,0,34,0,27,3.080001,2916
3463,2380,12,1,1,28,4500,0,0,160,0,0,1,1,4237,4237,4237,1,1.348073,9.132487,0,3463,0,3463,0,0,0,2380,0,10,0,1,3.849999,784
2723,2781,12,1,0,37,10500,0,0,161,1,0,1,1,4576,4456,4456,0,1.530395,0,1,2843,0,2843,1,0,0,2781,0,19,0,0,4.620001,1369
3875,2088,14,1,1,26,8250,0,0,162,0,0,1,1,4117,3787,3787,0,1.530395,7.71913,0,4205,0,4205,0,350,1,2088,0,6,1,4,4.620001,676
3115,2892,17,1,1,35,13750,0,1,163,0,0,1,1,4073,4073,3973,0,1.818077,0,1,3215,0,3115,0,1000,1,2892,0,12,0,13,6.160001,1225
2756,1188,15,0,0,53,16250,0,0,164,0,0,1,1,6136,5326,5326,0,1.530395,8.922792,1,3566,0,3566,0,0,0,1188,0,32,0,0,4.620001,2809
3398,2088,16,1,1,53,42500,0,0,165,0,0,1,1,4594,4594,3994,0,2.734367,0,1,3998,0,3398,1,3500,1,2088,0,31,0,30,15.39999,2809
3098,3480,12,1,1,27,5500,0,0,166,0,0,1,1,3502,3502,3472,0,1.818077,9.282754,1,3128,0,3098,0,5500,1,3480,0,9,0,7,6.160001,729
2991,2588,17,1,1,37,21250,0,0,167,0,0,1,1,4501,4381,4381,1,2.261763,0,1,3111,0,3111,0,0,0,2588,0,14,0,16,9.6,1369
3215,2688,12,0,1,28,6750,0,0,168,1,0,1,1,4177,4177,4167,1,1.275363,8.853808,1,3225,0,3215,0,4800,1,2688,0,10,0,9,3.580001,784
3611,1445,17,0,1,29,13750,0,0,169,0,0,1,1,5024,4874,4784,1,1.731656,9.528867,1,3851,0,3761,0,19000,1,1445,0,6,0,2,5.650002,841
3305,3050,12,1,1,44,5500,0,0,170,0,0,1,1,3725,3575,3450,0,1.731656,9.491828,0,3580,0,3455,0,5400,1,3050,0,26,0,22,5.650002,1936
3367,2250,12,0,1,26,5500,0,0,171,0,0,1,1,4463,4463,4463,0,0.891998,9.282754,1,3367,0,3367,0,7000,1,2250,0,8,0,7,2.44,676
2618,2763,16,1,0,32,16250,0,0,172,0,0,1,1,4699,4699,4614,0,1.585145,0,1,2703,0,2618,1,0,0,2763,0,10,0,0,4.879999,1024
3475,3008,8,0,0,59,9500,0,0,173,0,0,0,1,3597,2872,2817,1,1.413423,0,1,4255,0,4200,0,0,0,3008,0,45,0,0,4.11,3481
3618,2941,17,1,1,26,3500,0,0,174,0,0,1,1,3521,3521,3453,0,1.205971,0,0,3686,0,3618,0,0,0,2941,0,3,0,2,3.340001,676
3460,650,11,0,0,32,2500,0,0,175,0,0,0,1,5970,5885,5885,0,0.943906,0,1,3545,0,3545,0,0,0,650,0,15,0,0,2.57,1024
3250,2700,14,1,1,27,8250,0,0,176,0,0,1,1,4130,4130,4130,0,0.943906,8.612685,1,3250,0,3250,1,0,0,2700,0,7,0,8,2.57,729
2648,2775,9,0,0,57,4500,0,0,177,0,0,1,1,4657,4297,4287,1,1.011601,0,1,3018,0,3008,0,0,0,2775,0,42,0,0,2.75,3249
3045,2313,12,1,1,26,0,0,0,178,0,0,1,1,4722,4602,4584,1,0.587787,8.817446,1,3183,1,3165,0,0,0,2313,0,8,1,4,1.800001,676
3065,3003,12,1,1,37,6750,0,1,179,0,0,0,1,4012,4012,4012,0,1.300192,8.853808,0,3065,0,3065,0,7000,1,3003,0,19,0,14,3.670001,1369
2875,2301,14,1,1,24,2500,0,0,180,0,0,1,1,4904,4904,4904,0,1.300192,9.132487,0,2875,0,2875,0,0,0,2301,0,4,0,1,3.670001,576
3090,1806,12,1,1,33,11750,0,0,181,0,0,1,1,5184,3921,3839,1,1.798404,0,1,4435,0,4353,0,0,0,1806,0,15,0,14,6.04,1089
2798,2366,17,1,0,33,10500,0,1,182,0,0,1,1,4916,4826,4826,0,1.574847,0,1,2888,0,2888,1,0,0,2366,0,10,0,0,4.830002,1089
3610,2466,14,1,1,27,8250,0,0,183,0,0,1,1,4004,4004,4004,0,1.169381,0,1,3610,0,3610,1,0,0,2466,0,7,1,0,3.219999,729
3403,2648,8,1,1,45,16250,0,1,184,0,0,1,1,4029,3594,3594,0,1.688249,8.517393,0,3838,0,3838,0,3000,1,2298,350,31,0,18,5.409999,2025
3656,2010,12,1,1,32,9500,0,1,185,1,0,1,1,4414,4189,4189,1,1.776646,8.35491,0,3881,0,3881,0,4000,1,2010,0,14,0,9,5.910001,1024
3348,1760,17,1,1,30,13750,0,0,186,0,0,1,1,4972,4972,4972,1,2.086914,0,1,3348,1,3348,0,0,0,1760,0,7,1,7,8.060004,900
3130,3135,12,0,1,35,4500,0,0,187,0,0,1,1,3815,3455,3455,1,0.652325,9.371694,1,3490,0,3490,0,11500,1,3135,0,17,0,13,1.92,1225
3213,1485,10,0,0,35,4500,0,0,188,0,0,1,1,5382,4511,4248,0,0.652325,8.699681,1,4347,0,4084,1,0,0,1485,0,19,0,0,1.92,1225
3855,2463,7,1,1,46,11750,0,1,189,0,0,0,1,3762,3762,3762,0,1.105257,0,1,3855,0,3855,0,0,0,2463,0,33,0,24,3.020001,2116
3138,2351,12,1,1,47,16250,0,0,190,0,0,1,1,4591,4546,4333,0,2.142417,8.922792,1,3396,0,3183,0,0,0,2351,0,29,0,25,8.520005,2209
3203,2975,12,1,0,51,16250,0,1,191,1,0,1,1,3902,3564,3564,0,1.376244,0,1,3541,0,3541,1,0,0,2975,0,33,0,0,3.96,2601
2930,1283,10,1,1,28,10500,0,1,192,0,0,1,1,5867,5747,5744,1,1.88707,0,0,3053,0,3050,0,0,0,1283,0,12,0,9,6.600002,784
2448,2488,17,1,1,47,16250,0,0,193,0,0,1,1,5144,5144,5144,1,2.110213,8.517393,1,2448,0,2448,0,6000,1,2488,0,24,0,19,8.249999,2209
3556,826,12,0,1,46,3500,0,0,194,0,0,0,1,5698,5143,5143,0,0.837247,8.699681,1,4111,0,4111,0,7900,1,788,38,28,0,0,2.309999,2116
3660,2575,14,0,1,42,8250,0,0,195,1,0,1,1,3845,3845,3845,1,1.506297,9.259226,0,3660,0,3660,1,11000,1,2575,0,22,0,0,4.509999,1764
2536,2326,9,0,0,59,1000,0,0,196,0,0,1,1,5218,5218,5143,1,0.139762,0,0,2611,0,2536,1,0,0,2326,0,44,0,0,1.15,3481
2828,2700,11,0,1,30,1000,0,1,197,0,0,1,1,4552,4435,4432,0,0.139762,8.657129,1,2948,0,2945,1,7500,1,2700,0,13,0,12,1.15,900
3103,1350,12,0,0,35,6750,0,1,198,0,0,1,1,5627,5627,5627,0,0.029559,8.229777,0,3103,0,3103,0,0,0,1350,0,17,0,0,1.03,1225
3730,1175,12,0,1,23,5500,0,1,199,0,0,1,1,5175,5175,5175,0,0.198851,8.517393,1,3730,0,3730,0,5750,1,1175,0,5,0,3,1.22,529
2840,2353,11,0,1,38,16250,0,1,200,0,0,1,1,4887,4887,4887,0,0.364643,7.824446,1,2840,0,2840,0,14000,1,2353,0,21,0,20,1.44,1444
3210,1563,12,0,0,61,3500,0,0,201,0,0,1,1,5307,5227,5089,0,0.364643,0,1,3428,0,3290,0,0,0,1563,0,43,0,0,1.44,3721
3650,600,8,0,0,51,4500,0,1,202,0,0,1,1,5830,5830,5830,0,0.364643,0,1,3650,0,3650,0,0,0,600,0,37,0,0,1.44,2601
2708,2501,17,1,1,55,13750,0,0,203,0,0,1,1,4871,4811,4761,0,-0.328504,9.528867,1,2818,0,2768,0,7000,1,2501,0,32,0,25,0.72,3025
3530,2250,10,0,1,33,3500,0,0,204,0,0,1,1,4300,4300,4300,1,0.672944,9.23513,1,3530,0,3530,0,12000,1,2250,0,17,0,17,1.959999,1089
4695,1533,12,0,1,52,9500,0,1,205,1,0,1,1,3852,3852,3652,0,1.150572,8.817446,0,4895,0,4695,0,10000,1,1533,0,34,0,0,3.16,2704
3639,2513,15,1,1,27,13750,0,0,206,0,0,1,1,3928,3853,3733,0,1.241269,8.922792,1,3834,0,3714,0,12500,1,2513,0,6,1,5,3.460001,729
2335,2896,9,1,1,36,8250,1,0,207,0,0,1,1,4849,4756,4718,0,1.241269,8.160804,1,2466,0,2428,1,0,0,2663,233,21,0,0,3.460001,1296
2813,2550,12,0,0,55,8250,0,0,208,0,0,1,1,4717,4717,4717,0,1.241269,0,0,2813,0,2813,0,0,0,2550,0,37,0,0,3.460001,3025
3088,2747,10,0,1,60,0,0,0,209,1,0,0,1,4245,4185,4185,1,1.241269,9.159152,0,3148,0,3148,0,0,0,2747,0,44,0,38,3.460001,3600
3710,2127,11,0,1,40,9500,0,0,210,0,0,1,1,4243,4183,4183,0,0.548121,9.132487,1,3770,1,3770,0,10000,1,2127,0,23,0,22,1.729999,1600
3293,1125,13,0,1,29,6750,0,0,211,1,0,1,1,5662,5437,5437,1,1.241269,9.159152,0,3518,0,3518,0,0,0,1125,0,10,0,8,3.460001,841
3261,1125,12,0,1,35,1000,0,0,212,1,0,1,1,5694,5514,5514,1,1.241269,9.632401,0,3441,0,3441,0,10000,1,1125,0,17,0,16,3.460001,1225
3540,3692,12,1,1,35,4500,0,1,213,0,0,1,1,2848,2548,2548,0,1.241269,9.865318,0,3840,0,3840,0,4000,1,2642,1050,17,0,15,3.460001,1225
3176,2225,12,1,1,39,1000,0,0,214,1,0,1,1,4679,4634,4634,0,1.241269,9.632401,0,3221,0,3221,0,0,0,2225,0,21,0,13,3.460001,1521
3060,2375,12,1,1,23,4500,0,0,215,0,1,0,1,4645,4645,4555,0,1.241269,9.132487,1,3150,0,3060,1,0,0,2375,0,5,1,5,3.460001,529
3590,2100,11,1,1,28,0,0,0,216,0,0,1,1,4390,4390,4360,0,1.241269,7.824446,1,3620,0,3590,0,800,1,2100,0,11,1,1,3.460001,784
2923,2243,17,0,0,28,4500,0,1,217,0,0,1,1,4914,4884,4619,0,1.241269,0,1,3218,0,2953,0,0,0,2243,0,5,0,0,3.460001,784
3020,2275,13,0,0,54,6750,0,0,218,1,0,1,1,4785,4785,4785,1,1.241269,7.313887,1,3020,0,3020,1,0,0,2275,0,35,0,0,3.460001,2916
3110,2393,11,0,1,46,0,0,0,219,1,0,1,1,4577,4577,4577,0,0.779325,9.839003,1,3110,0,3110,0,15000,1,2393,0,29,0,0,2.18,2116
3898,2408,12,0,1,52,11750,0,0,220,1,0,1,1,3774,3774,3774,0,0.908259,8.853808,1,3898,0,3898,0,11000,1,2408,0,34,0,31,2.480001,2704
2841,2413,12,0,1,30,0,0,0,221,0,0,1,1,4826,4736,4736,0,1.172482,10.65728,1,2931,0,2931,0,23000,1,2413,0,12,0,12,3.23,900
3278,2420,12,0,1,40,10500,0,0,222,0,0,1,1,4382,4142,4142,0,1.701105,9.282754,1,3518,0,3518,0,13000,1,2420,0,22,0,16,5.48,1600
3151,1263,17,0,1,40,4500,0,1,223,0,0,1,1,5666,5626,4929,0,1.444563,9.371694,1,3888,0,3191,1,0,0,1263,0,17,0,22,4.239999,1600
3165,2765,10,1,1,28,10500,1,0,224,0,0,1,1,4150,3985,3315,0,0.875469,9.018089,1,4000,0,3330,1,3000,1,2765,0,12,1,11,2.400001,784
3720,2100,12,0,1,36,8250,0,0,225,0,0,1,1,4260,4120,4120,1,0.587787,7.131699,1,3860,0,3860,0,8000,1,2100,0,18,0,8,1.800001,1296
3675,2425,12,0,0,30,8250,0,0,226,0,0,1,1,3980,3980,3980,1,1.321756,7.131699,1,3675,0,3675,1,0,0,2425,0,12,0,0,3.750001,900
3300,3213,12,1,1,37,9500,0,0,227,0,1,1,1,3567,3567,3567,0,1.504077,6.908755,1,3300,0,3300,0,1500,1,2338,875,19,0,17,4.499998,1369
2250,1200,12,0,1,36,6750,0,1,228,0,0,0,1,6630,6630,5430,0,1.321756,8.853808,0,3450,0,2250,0,8000,1,1200,0,18,0,14,3.750001,1296
3298,2276,12,1,1,31,8250,0,0,229,0,0,1,1,4506,4286,4286,1,1.321756,7.131699,1,3518,0,3518,0,3746,1,2276,0,13,0,8,3.750001,961
3245,2475,12,1,1,30,11750,0,0,230,0,0,1,1,4360,4172,4172,0,1.658228,0,1,3433,0,3433,0,1400,1,2475,0,12,0,4,5.25,900
2770,2300,11,0,1,53,8250,0,0,231,0,0,1,1,5010,4620,4620,1,1.321756,8.612685,1,3160,0,3160,0,0,0,2300,0,36,0,29,3.750001,2809
3383,2188,12,0,1,37,8250,1,0,232,1,0,0,1,4509,4239,4239,0,1.098612,8.987322,1,3653,0,3653,1,9000,1,2188,0,19,0,18,2.999999,1369
3338,2313,12,1,1,29,13750,0,1,233,0,0,1,1,4429,4429,4429,0,1.65058,0,1,3338,0,3338,0,0,0,2313,0,11,0,10,5.210001,841
3330,2300,12,1,1,34,1000,0,0,234,0,0,0,1,4450,4450,4417,1,1.560248,9.282754,1,3363,0,3330,0,2500,1,2300,0,16,0,2,4.760002,1156
3098,2828,12,1,1,38,0,0,0,235,0,0,1,1,4154,3666,3553,1,1.752672,9.528867,1,3699,0,3586,0,0,0,2438,390,20,0,19,5.77,1444
3158,2200,12,0,1,24,16250,0,0,236,1,0,1,1,4722,4722,4677,0,1.752672,8.922792,1,3203,0,3158,1,1500,1,2200,0,6,0,5,5.77,576
3404,3748,14,1,1,52,5500,0,0,237,0,0,1,1,2928,2893,2893,0,1.752672,9.491828,1,3439,0,3439,0,0,0,3748,0,32,0,26,5.77,2704
3038,2681,9,1,1,38,13750,0,1,238,0,0,0,1,4361,4211,4196,0,1.752672,7.824446,0,3203,0,3188,0,4500,1,2681,0,23,0,14,5.77,1444
3115,1860,16,0,1,36,23750,0,0,239,0,0,1,1,5105,5105,5105,0,1.752672,8.229777,1,3115,0,3115,0,21000,1,1860,0,14,0,18,5.77,1296
2623,4325,12,1,1,60,10500,0,1,240,0,0,1,1,3132,3132,3112,0,1.752672,8.657129,0,2643,0,2623,0,9000,1,4325,0,42,0,0,5.77,3600
3013,2313,12,1,1,39,1000,0,0,241,0,0,1,1,4754,4754,4754,0,1.752672,9.282754,0,3013,0,3013,0,1100,1,2313,0,21,0,16,5.77,1521
2895,3411,12,0,0,50,11750,0,0,242,0,0,1,1,3774,3774,3774,0,1.752672,0,1,2895,0,2895,0,0,0,3411,0,32,0,0,5.77,2500
1485,2075,12,1,1,28,2500,0,0,243,0,0,1,1,6520,6520,6400,0,1.752672,9.328213,1,1605,0,1485,0,4000,1,2075,0,10,0,12,5.77,784
2770,2587,10,0,0,36,10500,0,1,244,0,0,1,1,4723,4723,4723,0,1.752672,8.086718,1,2770,0,2770,0,0,0,2587,0,20,0,0,5.77,1296
3308,2975,8,1,1,60,13750,0,1,245,0,0,1,1,3797,3677,3667,1,1.752672,8.517393,0,3438,0,3428,0,4000,1,2975,0,46,0,23,5.77,3600
3210,2125,13,1,1,32,0,0,0,246,0,0,1,1,4745,4700,4700,0,1.752672,9.371694,1,3255,0,3255,1,0,0,2125,0,13,0,11,5.77,1024
3116,2628,12,1,1,56,8250,0,1,247,0,0,1,1,4336,4246,4246,0,1.752672,9.259226,1,3206,0,3206,0,9000,1,2628,0,38,0,35,5.77,3136
3183,2388,8,1,1,47,13750,0,1,248,0,1,1,1,4509,4509,4432,1,1.752672,0,1,3260,0,3183,0,0,0,2388,0,33,0,0,5.77,2209
3330,2866,12,1,1,61,1000,0,0,249,0,0,1,1,3884,2959,2959,0,1.752672,9.915959,1,4255,0,4255,1,2400,1,2866,0,43,0,39,5.77,3721
3113,2173,17,1,0,29,11750,0,0,250,0,0,0,1,4794,4719,4719,1,1.752672,0,0,3188,0,3188,0,0,0,2173,0,6,0,0,5.77,841
2880,2450,8,1,1,56,11750,0,0,251,0,0,1,1,4750,4750,4750,1,1.752672,0,1,2880,0,2880,0,0,0,2450,0,42,0,0,5.77,3136
3308,1613,12,1,1,27,0,0,0,252,1,0,1,1,5159,4841,4578,1,1.752672,9.69591,0,3889,0,3626,0,0,0,1613,0,9,0,5,5.77,729
3428,3150,9,1,1,45,10500,0,0,253,0,0,1,1,3502,3502,3502,1,1.61343,8.657129,0,3428,0,3428,0,6600,1,3150,0,30,0,0,5.02,2025
3998,1350,12,0,1,25,6750,0,0,254,1,0,1,1,4732,4649,3854,1,1.258461,8.853808,0,4876,0,4081,0,9000,1,1350,0,7,0,4,3.52,625
3965,700,10,1,1,26,10500,0,1,255,0,0,0,1,5415,5415,5340,1,1.510722,0,0,4040,0,3965,0,0,0,700,0,10,1,9,4.530001,676
3515,2250,12,0,0,52,4500,0,0,256,0,0,1,1,4315,4315,4255,1,1.018847,0,0,3575,0,3515,0,0,0,2250,0,34,0,0,2.769999,2704
3345,1955,17,0,1,33,18750,0,0,257,0,0,1,1,4780,4780,4780,0,2.022871,9.528867,1,3345,0,3345,1,18000,1,1955,0,10,1,8,7.559999,1089
3638,2125,17,1,1,37,4500,0,1,258,0,0,1,1,4317,4257,4177,1,1.396245,8.699681,1,3778,0,3698,0,0,0,2125,0,14,1,7,4.040001,1369
2655,938,13,1,1,30,0,0,0,259,0,0,1,1,6487,6487,6487,1,1.396245,9.018089,1,2655,1,2655,0,0,0,338,600,11,1,6,4.040001,900
2618,3869,17,0,1,52,16250,0,1,260,0,0,1,1,3593,3593,3593,1,2.312536,9.328213,1,2618,0,2618,0,0,0,3869,0,29,0,27,10.10001,2704
3450,2450,12,1,1,23,9500,0,1,261,0,0,1,1,4180,4180,4165,1,1.396245,6.908755,0,3465,0,3450,0,300,1,2450,0,5,1,2,4.040001,529
3188,2353,12,0,1,44,5500,0,0,262,1,0,1,1,4539,4239,4239,1,1.108563,9.998843,0,3488,0,3488,0,22000,1,2353,0,26,0,0,3.030001,1936
3390,2563,16,1,1,33,13750,0,0,263,0,0,1,1,4127,3577,3439,0,2.089392,0,1,4078,0,3940,0,0,0,2563,0,11,0,10,8.080001,1089
3108,1863,12,0,1,27,8250,0,0,264,1,0,1,1,5109,5109,5094,0,1.396245,9.259226,0,3123,0,3108,0,10000,1,1863,0,9,0,5,4.040001,729
3825,2143,7,1,0,65,13750,0,0,265,0,0,0,1,4112,4012,4012,1,1.80171,0,1,3925,0,3925,0,0,0,2143,0,52,0,0,6.060001,4225
3778,1571,16,1,1,30,16250,0,0,266,0,0,1,1,4731,4731,4731,1,2.089392,9.69591,0,3778,0,3778,0,17000,1,1571,0,8,1,8,8.080001,900
3046,2571,16,1,1,54,18750,0,0,267,0,0,1,1,4463,4231,4171,1,2.089392,7.824446,1,3338,0,3278,0,6000,1,2571,0,32,0,32,8.080001,2916
3333,1818,16,0,1,29,16250,0,0,268,0,0,1,1,4929,4869,4869,1,2.089392,9.69591,0,3393,0,3393,0,0,0,1818,0,7,1,8,8.080001,841
4575,0,12,1,1,49,3500,0,0,269,0,1,1,1,5505,5505,5100,1,2.089392,10.08585,0,4980,0,4575,0,3700,1,0,0,31,0,27,8.080001,2401
3263,2250,12,1,1,25,10500,1,0,270,0,0,1,1,4567,4567,4567,0,1.396245,0,1,3263,0,3263,1,0,0,2250,0,7,1,4,4.040001,625
3113,2313,12,0,1,58,27500,0,0,271,1,0,1,1,4654,4504,3184,1,1.396245,8.517393,1,4583,0,3263,0,25000,1,2313,0,40,0,34,4.040001,3364
4545,835,11,1,0,40,8250,0,1,272,0,0,0,1,4700,4550,4550,0,1.396245,0,0,4695,0,4695,0,0,0,835,0,23,0,0,4.040001,1600
3880,2830,12,1,1,40,0,0,0,273,0,0,1,1,3370,3332,3332,0,1.396245,9.018089,1,3918,0,3918,1,0,0,2830,0,22,1,5,4.040001,1600
3303,2226,12,1,0,56,6750,0,1,274,0,1,0,1,4551,4306,4193,1,1.396245,0,0,3661,1,3548,0,0,0,2226,0,38,0,0,4.040001,3136
3388,2325,9,0,1,45,0,0,0,275,0,0,0,1,4367,4367,4367,0,1.396245,9.69591,1,3388,0,3388,0,0,0,2325,0,30,0,25,4.040001,2025
3278,2140,10,0,0,52,8250,0,1,276,0,0,0,1,4662,4662,4662,1,1.526056,0,1,3278,0,3278,0,0,0,2140,0,36,0,0,4.599999,2704
3376,2592,17,1,1,31,10500,0,0,277,0,0,1,1,4112,4064,4019,0,1.669592,9.018089,1,3469,0,3424,1,7500,1,2592,0,8,1,10,5.310001,961
2895,2313,12,1,1,27,16250,0,1,278,0,0,1,1,4872,4872,4872,0,2.669309,7.824446,1,2895,0,2895,0,6000,1,2313,0,9,0,5,14.42999,729
3216,2263,14,1,1,31,21250,0,0,279,0,0,1,1,4601,4601,4601,0,2.340844,9.328213,0,3216,0,3216,0,11000,1,2263,0,11,0,9,10.39,961
2930,2100,17,1,1,30,18750,0,0,280,0,0,1,1,5050,5050,4900,1,2.340844,0,1,3080,0,2930,1,800,1,2100,0,7,0,6,10.39,900
3150,1075,16,1,1,44,21250,0,1,281,0,0,1,1,5855,4870,4870,1,2.340844,0,1,4135,0,4135,0,0,0,1075,0,22,0,17,10.39,1936
3248,2238,15,1,1,27,13750,0,0,282,0,0,1,1,4594,4594,4564,0,1.763017,7.824446,0,3278,0,3248,0,1000,1,2238,0,6,1,6,5.83,729
